episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
103,1021.0,1139,308,0.6413,1.27794,103.8,0,4044.7
104,618.0,709,181,0.6396,1.28518,107.3,0,4051.4
105,793.0,881,159,0.638,1.30213,107.3,0,4057.4
106,634.0,722,167,0.6364,1.29617,109.7,0,4063.4
107,246.0,311,36,0.636,1.2319,110.0,0,4064.8
108,228.0,293,45,0.6356,1.32754,110.1,0,4066.4
109,227.0,292,42,0.6352,1.28377,109.3,0,4067.9
110,240.0,305,40,0.6348,1.32376,110.7,0,4069.4
111,624.0,698,84,0.634,1.26408,109.7,0,4072.4
112,918.0,1126,769,0.6264,1.27202,109.2,0,4100.6
113,921.0,1121,729,0.6193,1.2458,110.2,0,4127.1
114,647.0,722,100,0.6183,1.2456,113.3,0,4130.6
115,1322.0,1420,202,0.6163,1.27498,111.3,0,4137.9
116,650.0,804,499,0.6114,1.23105,109.3,0,4156.1
117,584.0,666,129,0.6102,1.22096,104.5,0,4161.1
118,633.0,722,172,0.6085,1.2698,92.2,0,4168.5
119,623.0,711,158,0.6069,1.68904,84.0,0,4176.1
120,215.0,278,42,0.6065,1.62031,81.3,0,4178.1
121,956.0,1127,577,0.6009,1.65989,102.7,0,4200.6
122,233.0,298,40,0.6005,1.75548,107.5,0,4202.1
123,246.0,310,31,0.6002,1.82027,111.1,0,4203.2
124,639.0,711,78,0.5994,1.72685,108.1,0,4206.1
125,619.0,706,149,0.5979,1.66325,104.4,0,4211.8
126,238.0,302,39,0.5976,1.67173,111.6,0,4213.2
127,1022.0,1136,288,0.5947,1.59348,111.6,0,4223.5
128,252.0,316,33,0.5944,1.56507,113.1,0,4224.7
129,249.0,314,35,0.5941,1.62981,113.6,0,4225.9
130,1645.0,1794,469,0.5895,1.60844,109.9,0,4243.0
131,1667.0,1795,356,0.586,1.59833,110.7,0,4255.9
132,237.0,301,42,0.5856,1.64851,112.3,0,4257.4
133,1029.0,1127,211,0.5835,1.6131,108.0,0,4265.2
134,1498.0,1673,593,0.5777,1.63905,109.7,0,4286.8
135,1004.0,1129,349,0.5743,1.66492,109.8,0,4299.5
