episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
105,242.0,307,39,0.9161,1.33093,121.5,0,1321.7
106,623.0,702,117,0.9159,1.40401,117.3,0,1325.7
107,236.0,301,41,0.9158,1.3717,113.8,0,1327.2
108,952.0,1119,561,0.9147,1.35685,115.7,0,1346.6
109,602.0,678,95,0.9145,1.43383,114.9,0,1349.9
110,635.0,798,538,0.9135,1.42357,116.0,0,1368.4
111,938.0,1128,676,0.9122,1.43757,116.2,0,1391.7
112,806.0,898,190,0.9118,1.41961,113.4,0,1398.4
113,201.0,268,57,0.9117,1.43225,114.8,0,1400.4
114,203.0,268,49,0.9116,1.31467,118.0,0,1402.1
115,235.0,300,44,0.9115,1.43638,120.6,0,1403.5
116,591.0,676,149,0.9112,1.33198,127.0,0,1408.2
117,241.0,305,35,0.9111,1.46097,135.7,0,1409.2
118,600.0,680,124,0.9109,1.45202,130.1,0,1413.1
119,604.0,700,206,0.9105,1.37189,132.2,0,1419.3
120,781.0,897,312,0.9099,1.45895,124.3,0,1429.3
121,578.0,660,128,0.9096,1.40828,121.2,0,1433.6
122,584.0,688,231,0.9092,1.47687,126.1,0,1440.9
123,786.0,898,287,0.9086,1.47348,128.7,0,1449.8
124,950.0,1125,598,0.9074,1.4547,128.3,0,1468.4
125,842.0,1137,1193,0.9051,1.40958,125.1,0,1506.6
126,631.0,722,184,0.9047,1.41197,125.8,0,1512.5
127,804.0,896,187,0.9044,1.41976,124.9,0,1518.4
128,580.0,662,126,0.9041,1.42814,129.8,0,1522.3
129,1015.0,1230,786,0.9026,1.44096,126.7,0,1547.1
130,764.0,851,145,0.9023,1.3799,125.4,0,1551.8
131,213.0,278,49,0.9022,1.37145,124.5,0,1553.3
132,942.0,1135,690,0.9009,1.63669,125.5,0,1575.3
133,1076.0,1215,422,0.9,1.66568,124.8,0,1588.9
134,612.0,684,79,0.8999,1.50182,124.2,0,1591.4
135,631.0,722,185,0.8995,1.68457,126.1,0,1597.3
136,205.0,273,58,0.8994,1.51841,122.3,0,1599.2
137,967.0,1151,634,0.8982,1.61615,124.3,0,1619.6
138,612.0,695,127,0.8979,1.65623,123.5,0,1623.7
139,607.0,687,119,0.8977,1.57478,126.2,0,1627.5
140,595.0,897,1240,0.8952,1.60145,122.6,0,1667.9
141,760.0,860,217,0.8948,1.73514,123.6,0,1675.0
142,245.0,310,38,0.8947,1.60899,126.1,0,1676.2
143,1329.0,1525,693,0.8934,1.5654,121.8,0,1698.9
144,611.0,700,160,0.8931,1.67358,122.0,0,1704.2
145,1294.0,1433,409,0.8923,1.64518,122.3,0,1717.5
146,1064.0,1220,508,0.8913,1.65008,115.6,0,1735.1
147,1286.0,1411,349,0.8906,1.54348,116.7,0,1747.1
148,232.0,298,44,0.8905,1.53107,114.1,0,1748.6
149,236.0,300,39,0.8904,1.65186,104.9,0,1750.1
150,734.0,898,547,0.8894,1.65397,120.3,0,1768.3
