episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
1,594.0,672,113,0.9989,,632.8,0,0.7
2,660.0,843,635,0.9927,,617.1,0,4.8
3,238.0,301,39,0.9923,,663.7,0,5.1
4,229.0,297,59,0.9917,,657.6,0,5.4
5,784.0,898,300,0.9888,2.55586,96.8,0,17.8
6,1204.0,1432,853,0.9804,1.83604,60.3,0,74.4
7,205.0,274,60,0.9798,1.1274,54.2,0,78.8
8,614.0,703,171,0.9782,1.22272,50.0,0,92.5
9,870.0,1125,996,0.9684,1.10482,51.1,0,170.5
10,609.0,689,120,0.9672,1.02346,53.5,0,179.5
11,616.0,694,108,0.9662,0.97893,60.5,0,186.6
12,694.0,859,550,0.9608,0.99794,54.5,0,227.0
13,651.0,795,440,0.9565,0.95757,56.5,0,258.1
14,232.0,299,53,0.9559,0.98122,49.0,0,262.5
15,800.0,893,191,0.9541,0.97097,45.4,0,279.3
16,692.0,898,759,0.9466,1.00013,51.3,0,338.5
17,244.0,309,38,0.9463,0.92274,37.8,0,342.5
18,206.0,273,57,0.9457,0.91975,42.0,0,348.0
19,639.0,824,636,0.9395,0.93037,50.8,0,398.0
20,246.0,309,34,0.9391,0.8344,51.3,0,400.7
21,241.0,307,47,0.9387,0.95271,56.2,0,404.0
22,589.0,687,207,0.9366,0.94535,48.9,0,421.0
23,628.0,717,174,0.9349,0.92345,50.2,0,434.8
24,881.0,1127,959,0.9255,0.88932,43.9,0,522.2
25,848.0,1138,1169,0.9141,0.77948,40.4,0,638.0
26,711.0,896,651,0.9077,0.74962,45.8,0,694.9
27,200.0,269,61,0.9071,0.7406,45.5,0,700.2
28,631.0,722,181,0.9053,0.74288,48.1,0,715.3
29,578.0,682,239,0.903,0.75806,46.8,0,735.7
30,606.0,683,100,0.902,0.78624,46.4,0,744.3
31,214.0,278,50,0.9015,1.30276,59.6,0,747.7
32,209.0,274,48,0.901,0.9583,51.0,0,751.4
33,593.0,677,131,0.8998,0.96425,49.3,0,762.1
34,245.0,308,30,0.8995,1.0961,53.7,0,764.3
35,1016.0,1124,262,0.8969,1.03138,43.0,0,788.7
36,248.0,312,35,0.8966,0.93947,48.5,0,791.6
37,213.0,280,51,0.8961,1.01956,47.5,0,795.9
38,796.0,895,220,0.8939,0.99898,45.9,0,815.0
39,1242.0,1403,534,0.8887,1.00229,59.4,0,851.0
40,573.0,664,171,0.887,0.97181,66.7,0,861.3
41,1101.0,1442,1417,0.8731,0.926,60.6,0,954.9
42,615.0,695,112,0.872,0.90187,55.5,0,963.0
43,536.0,653,310,0.869,0.89905,60.3,0,983.5
44,1021.0,1129,258,0.8664,0.93541,65.8,0,999.2
45,212.0,279,53,0.8659,0.92325,59.8,0,1002.7
46,248.0,313,36,0.8656,0.93523,62.9,0,1005.0
47,735.0,898,545,0.8602,0.90485,63.9,0,1039.2
48,1279.0,1412,389,0.8564,0.87014,63.1,0,1063.8
49,606.0,684,114,0.8553,0.91546,66.4,0,1070.7
50,666.0,869,730,0.8481,0.8793,64.3,0,1116.1
51,774.0,887,282,0.8454,0.86361,65.6,0,1264.4
52,910.0,1134,840,0.8372,0.87424,64.5,0,1316.5
53,242.0,308,41,0.8368,0.86358,68.5,0,1318.9
54,446.0,902,2005,0.8171,0.8033,63.0,0,1446.3
55,992.0,1124,386,0.8133,0.80515,64.4,0,1470.3
56,716.0,836,335,0.81,0.76822,66.2,0,1490.5
57,733.0,898,553,0.8046,0.79646,72.6,0,1521.0
58,601.0,693,176,0.8029,1.12606,62.8,0,1532.2
59,660.0,892,888,0.7942,1.12333,55.1,0,1596.7
60,237.0,305,51,0.7937,0.93943,58.7,0,1600.1
61,684.0,796,280,0.7909,1.06304,62.3,0,1618.1
62,205.0,272,55,0.7904,1.0884,61.4,0,1621.7
63,224.0,290,48,0.7899,1.07643,60.9,0,1624.9
64,773.0,897,348,0.7865,1.05176,60.5,0,1647.9
65,720.0,819,214,0.7844,1.07797,64.6,0,1661.1
66,236.0,301,44,0.784,1.01609,64.4,0,1663.9
67,560.0,680,324,0.7808,1.08737,63.7,0,1684.2
68,622.0,722,225,0.7786,1.05926,63.2,0,1698.5
69,1039.0,1136,206,0.7766,1.00495,63.9,0,1711.4
70,721.0,807,148,0.7751,0.99898,61.8,0,1720.9
71,239.0,302,38,0.7748,1.12496,63.3,0,1723.3
72,226.0,292,45,0.7743,1.03917,59.0,0,1726.4
73,1247.0,1409,530,0.7691,1.07043,61.4,0,1760.9
74,630.0,721,189,0.7673,1.09732,64.0,0,1772.8
75,609.0,679,65,0.7667,1.12022,59.1,0,1777.2
76,785.0,898,293,0.7638,1.04185,58.5,0,1797.2
77,999.0,1134,391,0.7599,1.02878,63.0,0,1822.0
78,219.0,287,51,0.7594,1.01224,68.1,0,1825.0
79,612.0,685,87,0.7586,0.9621,63.7,0,1830.5
80,622.0,722,227,0.7564,1.07151,66.1,0,1844.2
81,634.0,722,167,0.7547,1.00952,51.7,0,1857.1
82,686.0,898,788,0.747,1.06258,56.1,0,1913.3
83,234.0,297,34,0.7467,0.93729,73.2,0,1915.1
84,802.0,897,201,0.7447,1.05038,68.2,0,1926.9
85,1655.0,1782,361,0.7412,1.08832,59.7,0,1951.1
86,636.0,712,117,0.74,1.04528,62.1,0,1958.7
87,708.0,813,242,0.7377,1.12667,52.0,0,1977.3
88,232.0,298,41,0.7373,1.09992,50.3,0,1980.5
89,605.0,722,312,0.7342,1.02155,50.4,0,2005.3
90,239.0,303,39,0.7338,0.95769,42.8,0,2009.0
91,614.0,693,111,0.7327,1.04103,53.2,0,2017.3
92,231.0,297,44,0.7323,0.96655,56.1,0,2020.4
93,770.0,864,187,0.7305,1.0699,55.9,0,2033.8
94,925.0,1135,774,0.7229,1.08035,57.4,0,2087.8
95,235.0,300,39,0.7225,0.97103,58.4,0,2090.4
96,637.0,722,151,0.721,1.06969,55.0,0,2101.4
97,1191.0,1432,915,0.712,1.05563,50.9,0,2173.4
98,604.0,678,90,0.7112,1.04324,50.7,0,2180.5
99,1299.0,1433,384,0.7074,1.03891,50.8,0,2210.7
100,242.0,305,33,0.7071,1.03664,61.8,0,2212.9
101,1290.0,1439,458,0.7026,1.46782,56.5,0,2248.1
102,633.0,720,168,0.7009,1.47303,52.9,0,2260.8
103,1329.0,1433,232,0.6987,1.47364,54.3,0,2277.9
104,756.0,869,287,0.6959,1.45303,53.8,0,2299.2
105,634.0,722,170,0.6942,1.43437,47.3,0,2313.6
106,247.0,311,34,0.6939,1.61675,55.9,0,2316.0
107,747.0,898,483,0.6891,1.49298,57.4,0,2349.7
