episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
108,623.0,854,871,0.6806,1.45381,52.3,0,2416.3
109,605.0,680,96,0.6796,1.44962,53.7,0,2423.4
110,203.0,271,60,0.6791,1.44121,62.9,0,2427.2
111,1233.0,1410,608,0.6731,1.46972,65.3,0,2464.5
112,233.0,297,37,0.6727,1.29331,68.0,0,2466.6
113,724.0,826,227,0.6705,1.41476,61.2,0,2481.5
114,779.0,897,316,0.6674,1.43149,53.5,0,2505.1
115,239.0,304,47,0.667,1.42072,59.0,0,2508.3
116,1043.0,1422,1641,0.6509,1.42568,46.6,0,2649.3
117,1007.0,1124,311,0.6478,1.35427,29.7,0,2691.2
118,756.0,854,209,0.6458,1.43167,26.2,0,2723.0
119,607.0,684,100,0.6448,1.45209,7.7,0,2774.8
120,243.0,306,35,0.6445,1.30261,17.9,0,2782.9
121,619.0,698,110,0.6434,1.35336,18.5,0,2806.7
122,1268.0,1419,478,0.6387,1.39713,3.2,0,3403.4
123,1006.0,1124,314,0.6356,1.37697,2.8,0,3852.8
124,725.0,898,594,0.6298,1.40346,14.8,0,4013.8
125,606.0,696,168,0.6281,1.37802,101.9,0,4020.4
126,797.0,897,227,0.6259,1.43993,109.0,0,4028.7
127,637.0,722,155,0.6244,1.33832,96.0,0,4035.2
128,244.0,307,34,0.6241,1.31056,98.6,0,4036.6
129,1277.0,1438,517,0.619,1.38428,96.4,0,4058.0
130,785.0,897,290,0.6162,1.36272,99.3,0,4069.7
131,226.0,291,43,0.6157,1.30643,101.3,0,4071.4
132,593.0,679,146,0.6143,1.33659,102.9,0,4077.1
133,247.0,311,33,0.614,1.51429,102.5,0,4078.4
134,244.0,309,38,0.6136,1.43188,98.2,0,4079.9
135,248.0,312,34,0.6133,1.46203,91.5,0,4081.4
136,1284.0,1425,422,0.6091,1.30918,101.1,0,4098.1
137,589.0,706,300,0.6062,1.75611,100.1,0,4110.1
138,611.0,683,81,0.6054,1.87835,96.2,0,4113.5
139,237.0,303,45,0.605,1.69349,100.9,0,4115.2
140,232.0,298,41,0.6046,2.1189,99.9,0,4116.9
141,909.0,1134,845,0.5963,1.88787,102.6,0,4149.8
142,248.0,312,30,0.596,1.8949,94.5,0,4151.1
143,247.0,311,35,0.5957,1.77874,91.3,0,4152.6
144,245.0,309,34,0.5953,1.9377,92.9,0,4154.1
145,240.0,306,43,0.5949,1.82822,91.4,0,4156.0
146,232.0,296,36,0.5945,1.89098,94.8,0,4157.5
147,616.0,693,102,0.5935,1.81897,95.8,0,4161.8
148,627.0,707,113,0.5924,1.75685,82.9,0,4167.2
149,231.0,297,41,0.592,1.82291,82.1,0,4169.2
150,1029.0,1128,217,0.5899,1.77258,80.6,0,4180.0
