episode,reward,x_pos,steps,epsilon,avg_loss,fps,flag_get,elapsed_total
104,1278.0,1433,489,0.6966,2.27166,52.3,0,2202.4
105,543.0,662,315,0.6935,2.2617,54.2,0,2225.7
106,577.0,670,181,0.6917,2.31911,53.6,0,2239.2
107,637.0,713,95,0.6908,2.36595,51.8,0,2246.5
108,996.0,1127,379,0.6871,2.35582,56.6,0,2273.3
109,809.0,898,173,0.6854,2.37718,57.1,0,2285.4
110,231.0,297,42,0.685,2.26088,57.7,0,2288.3
111,240.0,304,32,0.6847,2.36117,58.2,0,2290.5
112,724.0,852,356,0.6812,2.35342,53.4,0,2317.2
113,1325.0,1422,200,0.6792,2.36453,59.4,0,2330.7
114,631.0,711,112,0.6781,2.44306,58.0,0,2338.4
115,1343.0,1435,173,0.6764,2.3451,60.7,0,2349.8
116,1302.0,1412,279,0.6737,2.46507,57.9,0,2369.1
117,578.0,656,106,0.6726,2.37301,52.1,0,2377.2
118,620.0,699,114,0.6715,2.44124,48.8,0,2386.5
119,235.0,299,42,0.6711,2.50674,51.8,0,2389.8
120,230.0,295,41,0.6707,2.52582,58.6,0,2392.6
121,1106.0,1237,367,0.6671,2.41988,49.9,0,2422.0
122,713.0,816,231,0.6648,2.41715,59.1,0,2437.7
123,234.0,299,42,0.6644,2.44289,56.5,0,2440.6
124,630.0,708,109,0.6634,2.39029,61.3,0,2447.8
125,619.0,710,171,0.6617,2.47007,58.7,0,2459.4
126,230.0,295,40,0.6613,2.42826,55.9,0,2462.3
127,590.0,680,170,0.6596,2.44695,56.4,0,2474.3
128,1022.0,1140,313,0.6566,2.45474,54.9,0,2497.1
129,693.0,828,395,0.6527,2.54193,52.4,0,2527.3
130,231.0,296,37,0.6523,2.42065,51.2,0,2530.2
131,230.0,295,45,0.6519,2.67473,59.7,0,2533.2
132,615.0,687,79,0.6511,2.48057,51.0,0,2539.4
133,712.0,805,184,0.6493,2.52532,47.8,0,2554.8
134,1018.0,1128,273,0.6466,2.5295,48.4,0,2577.5
135,234.0,300,40,0.6462,2.44046,46.8,0,2580.9
136,1285.0,1409,338,0.6429,2.5475,41.4,0,2613.6
137,1233.0,1411,618,0.6369,2.50763,35.6,0,2683.1
138,631.0,707,100,0.6359,2.49923,28.4,0,2697.3
139,224.0,288,44,0.6355,2.4027,11.7,0,2712.3
140,608.0,685,104,0.6345,2.39444,40.3,0,2722.7
141,223.0,287,40,0.6341,2.50975,29.4,0,2728.1
142,610.0,686,99,0.6331,2.5282,7.3,0,2782.7
143,1290.0,1409,321,0.6299,2.58314,11.5,0,2894.2
144,244.0,309,38,0.6296,2.45177,3.7,0,2936.0
145,1100.0,1224,348,0.6262,2.59434,2.1,0,3613.2
146,239.0,303,39,0.6258,2.56467,1.0,0,3771.3
147,1018.0,1116,223,0.6236,2.60703,5.1,0,3944.8
148,612.0,687,90,0.6227,2.52027,15.6,0,3968.0
149,239.0,303,33,0.6224,2.68244,38.9,0,3971.4
150,616.0,691,91,0.6215,2.61255,13.1,0,3999.1
